"a__channel__channel_category","a__channel__type","cp__channel__campaign_channel_id","f__channel__budget","f__channel__spend","r__campaigns"
Advertising,In-game,"10060AD2GEZMQ",140.00,109.20,"10060"
Advertising,Insert,"10066AD5UOFIX",440.00,497.20,"10066"
Advertising,LinkedIn Ad,"10028AD2QYOIU",100.00,90.00,"10028"
Advertising,Product Packaging,"10004AD8XWMMV",440.00,462.00,"10014"
Advertising,Product Packaging,"10004AD9FQMQH",440.00,365.20,"10004"
Advertising,Product Packaging,"10012AD1BSHRD",440.00,479.60,"10012"
Advertising,Sports Sponsorship,"10025AD3TEWVS",5470.00,7931.50,"10033"
Advertising,YouTube Pre-roll,"10048AD7VFTPF",190.00,245.10,"10048"
Content,Content marketing,"10056CO7ODDFP",280.00,156.80,"10056"
Content,Infographics,"10019CO8TQRRL",290.00,261.00,"10019"
Content,Infographics,"10039CO7QOFAB",290.00,232.00,"10039"
Content,Research Paper,"10026CO2UNGNT",590.00,383.50,"10026"
Direct,Alliance Marketing,"10027DI8OJZNK",950.00,883.50,"10027"
Direct,Postal Mail,"10003DI9JUSKL",480.00,489.60,"10003"
Direct,Postal Mail,"10053DI0ZVFWG",480.00,302.40,"10053"
Email,Email Blast,"10072EM4NCLZD",280.00,327.60,"10072"
Email,Email Signature,"10005EM0URYIN",190.00,224.20,"10005"
Email,Email Signature,"10014EM8DPSEA",190.00,233.70,"10014"
Event,Brand Hijack,"10025EV5UFAEA",2890.00,2283.10,"10025"
Event,Brand Hijack,"10077EV7LNVCN",2890.00,3554.70,"10077"
Event,Events,"10027EV3HAOOW",6400.00,4160.00,"10027"
In-Store,POS displays,"10008IN7UICSC",520.00,317.20,"10008"
In-Store,POS displays,"10031IN4LZPMG",520.00,618.80,"10031"
In-Store,Signage,"10052IN9AHVHV",320.00,339.20,"10052"
Mobile,SMS,"10035MO4LFSGB",390.00,405.60,"10035"
Mobile,SMS,"10038MO0OIERX",390.00,382.20,"10038"
Mobile,SMS,"10066MO9QFTNO",390.00,401.70,"10066"
PR,Press Release,"10028PR5QOKVU",470.00,587.50,"10028"
Search,PPC,"10006SE6IPHAL",690.00,696.90,"10006"
Social,Blog,"10047SO6NDNQD",70.00,73.50,"10047"
Social,Facebook Page,"10045SO7WCTTF",230.00,177.10,"10045"
Social,Facebook Post,"10004SO7XSXHQ",70.00,45.50,"10004"
Social,Facebook Post,"10038SO1BHGEQ",70.00,74.90,"10038"
Social,Forum,"10001SO6FWEOU",390.00,358.80,"10001"
Social,Forum,"10009SO5FPLKZ",390.00,347.10,"10009"
Social,Forum,"10013SO4YORKP",390.00,417.30,"10013"
Social,Forum,"10022SO0TRTVG",390.00,343.20,"10022"
Social,Forum,"10065SO2PRYEL",390.00,354.90,"10065"
Social,LinkedIn Group,"10004SO0BVINK",140.00,128.80,"10004"
Social,LinkedIn Group,"10029SO6LMVPQ",140.00,127.40,"10029"
Social,LinkedIn Group,"10040SO6DWUIH",140.00,137.20,"10040"
Social,Twitter,"10045SO4ZBUKW",80.00,104.00,"10045"
Social,Twitter account,"10020SO4DSMGB",180.00,185.40,"10020"
Social,Twitter account,"10042SO7NDKQS",180.00,140.40,"10042"
Telephone,Hold Message,"10069TE4ZLGIU",240.00,240.00,"10069"
Telephone,Telesales,"10009TE1JQUIS",3220.00,2321.00,"10009"
Telephone,Telesales,"10025TE7ZGAZO",4220.00,2067.80,"10025"
Telephone,Telesales,"10076TE8UEIMF",4220.00,3629.20,"10076"
Web,Ebay Store,"10039WE5SDTMJ",950.00,798.00,"10039"
Web,Microsites,"10002WE7WHGTM",200.00,240.00,"10002"
Web,Microsites,"10040WE8HNQSO",200.00,152.00,"10040"
Advertising,LinkedIn Ad,"10062AD8JZLMY",100.00,108.00,"10062"
Advertising,Magazine Ad,"10064AD6CDQVI",430.00,374.10,"10064"
Advertising,Paid Review,"10009AD4FFVET",120.00,86.40,"10009"
Advertising,Paid Review,"10049AD5CRSSZ",120.00,118.80,"10049"
Advertising,Receipt Code,"10020AD9VUPVZ",240.00,254.40,"10020"
Content,Content marketing,"10045CO1EVRSS",280.00,285.60,"10045"
Content,Infographics,"10047CO5OGQXY",290.00,208.80,"10047"
Content,Infographics,"10058CO2IULJH",290.00,258.10,"10058"
Content,Presentation,"10030CO0NFNME",400.00,460.00,"10030"
Content,Research Paper,"10018CO5MJMSX",590.00,595.90,"10018"
Content,Research Paper,"10054CO7KGZHZ",590.00,566.40,"10054"
Content,Research Paper,"10072CO9INICX",590.00,566.40,"10072"
Content,Video,"10030CO7STEHG",1170.00,1240.20,"10030"
Email,Email Blast,"10014EM4PUXFF",280.00,243.60,"10014"
Email,Email Blast,"10039EM8TWMZM",280.00,358.40,"10039"
Email,Email Blast,"10049EM5HYJUG",280.00,201.60,"10049"
Email,Email Signature,"10042EM9UOYEQ",190.00,96.90,"10042"
Event,Prizes/Exhibitions,"10061EV3YLXWB",760.00,592.80,"10061"
In-Store,Display,"10070IN2RZMWB",1400.00,1190.00,"10070"
In-Store,Loyalty card,"10063IN1YVMIY",270.00,240.30,"10063"
In-Store,POS displays,"10064IN1PSVTF",520.00,561.60,"10064"
In-Store,POS displays,"10070IN6XOQMY",520.00,525.20,"10070"
PR,Press Release,"10055PR3YIUHU",470.00,441.80,"10055"
PR,Public Relations,"10005PR7MBLMQ",630.00,611.10,"10015"
PR,Public Relations,"10029PR0UECJQ",630.00,478.80,"10029"
PR,Public Relations,"10044PR3UFOMM",630.00,415.80,"10044"
PR,Public Relations,"10063PR1FLMRW",630.00,699.30,"10063"
Search,SEO,"10025SE9QWXFM",230.00,186.30,"10025"
Social,Facebook Page,"10051SO5SUALO",230.00,227.70,"10051"
Social,Facebook Post,"10043SO0IHZJM",70.00,53.90,"10043"
Social,Influencer outreach,"10008SO1OYZUK",210.00,195.30,"10008"
Social,Influencer outreach,"10065SO2PSLAU",210.00,222.60,"10065"
Social,LinkedIn Group,"10047SO2MKOCH",140.00,140.00,"10047"
Social,Twitter account,"10019SO6HANKI",180.00,176.40,"10019"
Social,Youtube channel,"10071SO2YSTRU",80.00,68.00,"10071"
Telephone,Hold Message,"10049TE5YZOFG",240.00,206.40,"10049"
Web,Amazon Store,"10023WE7JNVJM",210.00,165.90,"10023"
Web,Amazon Store,"10033WE6EVIFW",210.00,262.50,"10033"
Web,Amazon Store,"10068WE8MKMRN",210.00,216.30,"10068"
Web,Microsites,"10041WE1MTYYN",200.00,188.00,"10041"
Web,Microsites,"10042WE6OJJMD",200.00,252.00,"10042"
Web,Microsites,"10071WE1DVWRX",200.00,232.00,"10071"
Advertising,In-game,"10007AD3ILEYQ",140.00,92.40,"10007"
Advertising,LinkedIn Ad,"10023AD7JGVJD",100.00,87.00,"10023"
Advertising,Paid Review,"10065AD4SZTTD",120.00,106.80,"10065"
Advertising,YouTube Pre-roll,"10059AD1CATLA",190.00,220.40,"10059"
Content,Infographics,"10042CO3GSSJO",290.00,301.60,"10042"
Content,Presentation,"10025CO3KFNLO",400.00,432.00,"10025"
Content,Presentation,"10034CO0GUDCH",400.00,476.00,"10034"
Content,Report Sponsorship,"10067CO7OEEWY",360.00,223.20,"10067"
Content,Research Paper,"10075CO5KXQMG",590.00,607.70,"10075"
Content,Video,"10056CO2JXRWV",1170.00,982.80,"10056"
Content,Video,"10061CO4NNELH",1170.00,1567.80,"10061"
Email,Email Signature,"10073EM6ZCZFJ",190.00,228.00,"10073"
In-Store,Kiosk,"10064IN6MRKGD",400.00,376.00,"10064"
In-Store,Signage,"10001IN4NQSPX",320.00,400.00,"10001"
PR,Press Release,"10042PR5FYEPO",470.00,437.10,"10042"
PR,Public Relations,"10071PR6TLFJL",630.00,863.10,"10071"
Search,PPC,"10006SE3PTPUV",690.00,496.80,"10006"
Search,PPC,"10042SE4WFONI",690.00,655.50,"10042"
Search,SEO,"10011SE4QSXQZ",230.00,223.10,"10011"
Search,SEO,"10011SE6VRXUF",230.00,241.50,"10011"
Search,SEO,"10015SE3NNNTK",230.00,174.80,"10015"
Search,SEO,"10071SE5CJATT",230.00,230.00,"10071"
Social,Blog,"10049SO3UNSTI",70.00,50.40,"10049"
Social,Facebook Page,"10071SO5QSNVJ",230.00,257.60,"10071"
Social,Facebook Page,"10072SO7XCJAA",230.00,273.70,"10072"
Social,Forum,"10074SO3QCYDA",390.00,409.50,"10074"
Social,Influencer outreach,"10003SO3XNYND",210.00,199.50,"10003"
Social,LinkedIn Post,"10050SO3KHFWC",140.00,159.60,"10050"
Social,LinkedIn Post,"10065SO8UBQBX",140.00,106.40,"10065"
Social,Twitter,"10036SO4YAPTO",80.00,74.40,"10036"
Social,Twitter,"10046SO9ZVRGE",80.00,80.00,"10046"
Social,Twitter account,"10016SO5LOWZD",180.00,241.20,"10016"
Social,Twitter account,"10024SO9UXFRH",180.00,237.60,"10024"
Social,Twitter account,"10030SO8EMVOY",180.00,201.60,"10030"
Social,Youtube channel,"10045SO9KKNAM",80.00,74.40,"10045"
Web,Ebay Store,"10041WE1YMWLG",950.00,836.00,"10041"
Web,Ebay Store,"10068WE2JGVUL",950.00,1045.00,"10068"
Web,Microsites,"10071WE9LMYXH",200.00,230.00,"10071"
Advertising,Aggregator,"10010AD0BNBFV",70.00,60.20,"10010"
Advertising,Magazine Ad,"10019AD6OSFIN",430.00,408.50,"10019"
Advertising,Mobile Ad,"10057AD0RUAWX",80.00,82.40,"10057"
Advertising,Receipt Code,"10003AD2KPVTQ",240.00,196.80,"10003"
Advertising,YouTube Pre-roll,"10006AD4OPLZH",190.00,134.90,"10006"
Content,Content marketing,"10076CO0LZXQM",280.00,156.80,"10076"
Content,Report Sponsorship,"10017CO2UUYJB",360.00,388.80,"10017"
Content,Research Paper,"10049CO5VPWSC",590.00,631.30,"10049"
Content,Research Paper,"10050CO3GNMXW",590.00,578.20,"10050"
Direct,Alliance Marketing,"10030DI3QYRMW",950.00,988.00,"10030"
Direct,Catalogue,"10065DI6ABSRW",2470.00,2618.20,"10065"
Direct,Postal Mail,"10005DI7MWSCD",480.00,427.20,"10014"
Direct,Postal Mail,"10017DI3MHKXX",480.00,379.20,"10017"
Direct,Postal Mail,"10023DI7RQAEW",480.00,393.60,"10023"
Direct,Postal Mail,"10061DI3BLENE",480.00,388.80,"10061"
Email,Email Blast,"10071EM7YQLYT",280.00,179.20,"10071"
In-Store,POS displays,"10071IN6FWHDZ",520.00,566.80,"10071"
In-Store,Signage,"10071IN0TFHJO",320.00,387.20,"10071"
In-Store,Signage,"10073IN7HXYYX",320.00,208.00,"10073"
Mobile,SMS,"10071MO5ZFZNJ",390.00,347.10,"10071"
PR,Press Release,"10016PR2VTXWV",470.00,413.60,"10016"
Search,SEO,"10032SE0TNUMT",230.00,181.70,"10032"
Search,SEO,"10045SE1JPRCN",230.00,204.70,"10045"
Social,Blog,"10015SO5MLNXI",70.00,58.10,"10015"
Social,Blog,"10071SO5SJFGK",70.00,76.30,"10071"
Social,Facebook Page,"10021SO3ZZQOU",230.00,227.70,"10021"
Social,Facebook Post,"10006SO2JINWT",70.00,74.20,"10006"
Social,Influencer outreach,"10016SO3XYLBF",210.00,180.60,"10016"
Social,Influencer outreach,"10052SO3LOBMG",210.00,207.90,"10052"
Social,LinkedIn Group,"10025SO1BTEFX",140.00,116.20,"10025"
Social,LinkedIn Post,"10049SO3NHSNI",140.00,162.40,"10049"
Social,Twitter,"10037SO7IUDVU",80.00,104.00,"10037"
Social,Twitter,"10071SO5BEOFI",80.00,86.40,"10071"
Social,Twitter account,"10077SO7DEHXQ",180.00,160.20,"10077"
